id,full_name,email,bank_name,account_no,balance
798,Fredelia Crosoer,fcrosoerm5@arizona.edu,Axa banque,FR26 4066 5700 724X 8QRY I9AP N21,47098123.15
799,Wilmar Duffree,wduffreem6@youtube.com,TD BANK,LU14 706T MT5S HWIS WS5V,24493417.47
800,Theodora Sworn,tswornm7@cocolog-nifty.com,HERITAGE BANK,FR71 1377 6904 20AK Q80M AAVR P54,39797555.28
801,Shalne Shead,ssheadm8@techcrunch.com,PACIFIC WESTERN BANK,IS59 0567 5130 2928 8757 1770 01,37453998.66
802,Dewitt Kelling,dkellingm9@multiply.com,FIRST STATE BANK,HU52 0277 3223 7050 9474 7122 3377,42161907.18
803,Giorgio McCarlie,gmccarliema@goodreads.com,BMO HARRIS BANK,NL61 XTCD 7518 6602 24,39579963.23
804,Katie Frankcombe,kfrankcombemb@hp.com,Raiffeisenbank eG,VG35 NOBO 1714 0050 6171 6767,38165080.97
805,Marion McNuff,mmcnuffmc@ibm.com,BANCO BPM SOCIETA' PER AZIONI,DE69 5042 0189 0528 2069 52,13637760.69
806,Alvina Otto,aottomd@qq.com,Claddagh Credit Union Limited,GB26 JPJL 6823 9933 7709 69,20511376.58
807,Ezequiel Burriss,eburrissme@discovery.com,Sparkasse Schwaben-Bodensee,HU32 0757 9376 4171 3959 9330 9303,48743342.68
808,Karola Tremonte,ktremontemf@ustream.tv,REALKREDIT DANMARK A/S,AD75 8325 5528 L8HG VZ3J RFLJ,9147656.22
809,Sim Layborn,slaybornmg@shop-pro.jp,"UNICREDIT, SOCIETA' PER AZIONI",AT68 3081 2475 9617 5968,48313701.45
810,Levon Little,llittlemh@cargocollective.com,CITIZENS BANK,FO42 1760 4963 4916 40,20632761.52
811,Gwennie Russ,grussmi@uiuc.edu,TD BANK,FR26 9405 4911 76LH I1YR GP1M 333,693620.01
812,Nariko Farny,nfarnymj@vk.com,Mizuho Trust & Banking (Luxembourg) SA,FR35 9445 5893 36EO FEEW D3GT A94,264797.86
813,Daniel Hawford,dhawfordmk@sciencedirect.com,Volksbank Schlangen e.G.,GI49 DZTU WJ20 CZA4 2DMI S7N,6374621.65
814,Ethelred Thieme,ethiememl@jiathis.com,BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),CR98 3600 6246 5802 3847 1,20029649.58
815,Kiel Padly,kpadlymm@house.gov,Cabra Credit Union Limited,FR36 0336 8214 042W XQS6 DZ8J X49,2226222.68
816,Tannie Prydden,tpryddenmn@loc.gov,Raiffeisenbank Korneuburg eGen,IE21 SVMK 2935 6462 2767 02,36150448.78
817,Krishna Rontree,krontreemo@sohu.com,CAPITAL ONE,ES47 1766 2551 1847 1946 1345,11816241.64
818,Winny Dooland,wdoolandmp@yale.edu,IBERIABANK,PK33 QTFL 64PW WBAA FWPZ HPID,13409975.87
819,Mirella Tyrie,mtyriemq@kickstarter.com,CORNERSTONE BANK,FR11 3686 2549 48GF PG80 YVHH Q85,26900702.68
820,Dallis Bogaert,dbogaertmr@wsj.com,USALLIANCE FEDERAL CREDIT UNION,FR25 7057 9659 93MB EEE7 2YDR 107,5854387.82
821,Rena Gilbart,rgilbartms@acquirethisname.com,COLUMBIA STATE BANK,SE20 9159 2253 2269 0176 6917,5372636.31
822,Walther Lovell,wlovellmt@cdc.gov,RCI Banque,FR29 6741 8411 51EA BKHF 6OOZ B12,7926413.91
823,Ivie d'Escoffier,idescoffiermu@ycombinator.com,COMPASS BANK,CR24 5345 5554 0468 0224 3,22356923.38
824,Hazel McAlindon,hmcalindonmv@mayoclinic.com,BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),AT72 5014 1833 8073 8318,19733208.42
825,Afton Schlag,aschlagmw@nbcnews.com,UNITED COMMUNITY BANK,EE02 0703 5611 5699 9508,42515217.23
826,Caresse Ikins,cikinsmx@google.com.au,Sydjysk Sparekasse,MR12 7144 3383 8276 7815 7533 410,30138304.16
827,Alison Giannoni,agiannonimy@xinhuanet.com,UNITED BANK & CAPITAL TRUST COMPANY,SE30 3572 1461 9463 5730 5732,40419624.23
828,Gerda Popplewell,gpopplewellmz@mozilla.com,Volksbank in Schaumburg und Nienburg eG,AL75 6247 7069 IZRN LWAR F1VR DLSL,33446025.05
829,Demetre De Francisci,dden0@cdc.gov,Sparkasse Pforzheim Calw,BR33 8639 2522 9113 6798 4106 356R 1,12217969.63
830,Dorise Happs,dhappsn1@constantcontact.com,THE HUNTINGTON NATIONAL BANK,VG49 BYLC 5673 1841 7639 6569,13782865.47
831,Lorilee Padmore,lpadmoren2@blinklist.com,FIRST STATE BANK,GB72 KFBZ 9122 5253 4673 28,18844020.58
832,Asia Zahor,azahorn3@amazon.de,UNITED COMMUNITY BANK,EE59 8033 9048 2591 1881,24766743.28
833,Mal Douche,mdouchen4@is.gd,REGIONS BANK,BR51 6267 5795 0110 3316 5502 420I U,43057700.19
834,Osbourne Blount,oblountn5@yahoo.com,S & T BANK,GI34 UFRS Z2N6 NYQP 7GTM NMU,46130553.69
835,Lexis Pruvost,lpruvostn6@photobucket.com,Ennistymon and District Credit Union Limited,HU89 9930 5886 0331 2417 6234 2614,45499431.45
836,Ann Puckham,apuckhamn7@symantec.com,BPCE,BR90 5053 3134 3011 5117 9006 646L H,17677793.45
837,Armin Cawthery,acawtheryn8@drupal.org,NEW YORK COMMUNITY BANK,HR35 2188 2982 6564 4552 9,5613006.01
838,Shirlee Bubeer,sbubeern9@dyndns.org,CAPITAL BANK,MK33 299M NZ6Y UODB T33,1598651.72
839,Davis Braghini,dbraghinina@zimbio.com,Raiffeisenbank im Kreis Calw eG,FR08 9421 1211 47UD ILY3 NGG1 558,14026296.83
840,Maxine Ravenhill,mravenhillnb@npr.org,CITY NATIONAL BANK,SI35 7688 7158 0285 499,18471269.63
841,Merna Giacopello,mgiacopellonc@google.ca,HUNTINGTON NATIONAL BANK,FR81 5885 9693 35X4 WIXA 8QMA U36,4872562.87
842,Otis Crowest,ocrowestnd@joomla.org,AXA Home Loan SFH,LV71 HCHP 0SV0 BG1B GYQU D,10795067.72
843,Patty Jina,pjinane@google.es,FIRST SECURITY BANK,SI12 9987 4398 7877 033,33344068.9
844,Dougy Larmour,dlarmournf@hc360.com,M & T BANK,SI61 9363 4341 6422 783,12442703.48
845,Maurise Ivens,mivensng@census.gov,BRANCH BANKING & TRUST COMPANY,AL26 6009 6648 EO2Z F2MV 1KRB 9SGX,32212404.68
846,Erich Stealfox,estealfoxnh@amazon.co.uk,GREAT SOUTHERN BANK,NO44 1097 9101 291,25074617.84
847,Clotilda Dance,cdanceni@blogger.com,BANCO BPM SOCIETA' PER AZIONI,AZ72 BRQN 5RGZ SYPU PB0R D0RO TRMN,8383457.48
848,Gipsy Dudley,gdudleynj@cornell.edu,BANCO BPM SOCIETA' PER AZIONI,MR38 4203 4900 6341 0422 6521 219,24838809.5
849,Chrissy Volkes,cvolkesnk@blogs.com,MØNS BANK A/S,AE05 0492 6870 7736 7822 681,26978697.24
850,Terza Underhill,tunderhillnl@time.com,PEOPLES BANK,SE71 2653 2957 6282 2309 7902,25351667.23
851,Den Maken,dmakennm@zdnet.com,MMV Bank GmbH,ES18 1602 8951 6774 2538 5711,6315438.08
852,Coralie Balazs,cbalazsnn@xing.com,GarantiBank International N.V.,MR83 4053 5189 8167 5747 2002 142,45343070.29
853,Axe Thying,athyingno@home.pl,"MONETA Money Bank, a.s.",BG41 OCKQ 3716 865O AE2R OH,41731692.34
854,Micah Kraut,mkrautnp@creativecommons.org,PNC BANK,BH62 NJHA RIBG RZ94 RVHS M0,1344643.09
855,Mariquilla Matuszewski,mmatuszewskinq@comcast.net,Deutsche Pfandbriefbank AG,FR13 7713 6682 26AR 5YUY MJPP D45,48950686.94
856,Hobard Woltman,hwoltmannr@yale.edu,FINDOMESTIC BANCA SPA,SE69 0563 8547 1095 1660 5907,14498286.82
857,Ignacio Cridge,icridgens@tripadvisor.com,"Banco Bilbao Vizcaya Argentaria, S.A.",EE66 9761 9877 4670 3125,42640130.88
858,Natalee Sneesby,nsneesbynt@irs.gov,Raiffeisenbank Wagram-Schmidatal eGen,CZ45 0421 8577 9323 4926 2798,37744099.92
859,Emyle Shelbourne,eshelbournenu@nbcnews.com,"Caja Rural de Albacete, Ciudad Real y Cuenca, Sociedad Cooperativa de Crédito",LB15 2510 NIMN CHTE VOZD EWC9 OZSM,28307829.43
860,Faunie Whillock,fwhillocknv@chron.com,BANCO BPM SOCIETA' PER AZIONI,CH38 7516 8AZP 7MFD NHKR 7,8282228.56
861,Natka Dolder,ndoldernw@xing.com,CITIZENS BANK,NO43 9317 0981 108,34678424.5
862,Dorey Easman,deasmannx@nps.gov,State Bank of India,IS77 2216 5757 2795 6310 9554 63,36051464.54
863,Bridget Flescher,bflescherny@xinhuanet.com,Bank Spółdzielczy w Działdowie z siedzibą w Lidzbarku,GL19 8642 1458 8680 40,34928033.86
864,Ernesta Jendrys,ejendrysnz@wsj.com,BANKA SPARKASSE d.d.,DO66 84JJ 9134 6355 6817 7973 2756,34831889.97
865,Gabriela Ferras,gferraso0@uiuc.edu,Mitchelstown Credit Union Limited,FR65 8915 8555 85AX 4ABK ZEDP O85,26985072.33
866,Diena Attwoull,dattwoullo1@shutterfly.com,RENASANT BANK,AD61 3692 6584 3CSS DVIH ZJR9,24939623.0
867,Pearline Wainscoat,pwainscoato2@goodreads.com,Norddeutsche Landesbank - Girozentrale -,CZ05 1966 2049 4335 1690 3897,12977973.16
868,Ki Hoodlass,khoodlasso3@photobucket.com,UNITED BANK,GB44 LSJW 3243 9328 6270 45,41806373.13
869,Aurore Brazil,abrazilo4@merriam-webster.com,Raiffeisenbank München-Süd eG,LI38 0044 0DKV ZG5C RUYX B,48019385.11
870,Erv Kupke,ekupkeo5@tmall.com,PENTAGON FEDERAL CREDIT UNION,IE21 YBPZ 6687 8545 6372 10,30010687.19
871,Matelda Braine,mbraineo6@nymag.com,PSD Bank Koblenz eG,BG35 SDXE 5141 16BB B7BI LM,7578959.88
872,Gualterio Scopes,gscopeso7@linkedin.com,Raiffeisenbank Bludenz-Montafon eGen,AE98 0265 3123 0009 3625 524,35516552.13
873,Nevsa Pinney,npinneyo8@uol.com.br,OTP Bank Nyrt.,AT49 2460 5144 8237 4505,26433033.0
874,Ludovico Vecard,lvecardo9@cargocollective.com,COMERICA BANK,LB78 2887 S3DN N2RO ZZ1G YZEC OZZ2,954768.56
875,Petronilla Ffoulkes,pffoulkesoa@multiply.com,Bank Spółdzielczy im. Stefczyka w Belsku Dużym,BE26 2022 8731 1419,8754231.55
876,Wanids Iacovucci,wiacovucciob@cafepress.com,US BANK,AD35 5378 1325 GH9Z WWS5 JSEK,34157517.94
877,Chance Gregoriou,cgregoriouoc@scientificamerican.com,Cahir Credit Union Limited,RO45 MTHM AKZC T16H AIEZ DTZO,3886591.39
878,Sawyere Jerche,sjercheod@disqus.com,FIRST NATIONAL BANK,GI69 IVCG FZ0E LLTB UNLG 91H,27059114.12
879,Carmine Golden of Ireland,cgoldenoe@instagram.com,HUNTINGTON NATIONAL BANK,LB48 4091 0HHT C7GY ZPRV D8JB KCSV,23466009.08
880,Andrea Boler,abolerof@ox.ac.uk,PNC BANK,ME45 1157 3173 8514 2028 65,44159092.26
881,Felisha Mungane,fmunganeog@wired.com,"Caixa Rural de Callosa d'en Sarrià, Cooperativa de Crédito Valenciana",AT45 9121 1317 9085 5892,44429987.31
882,Fidole Cowles,fcowlesoh@cdc.gov,GLACIER BANK,IL12 1358 9889 8331 1399 912,19670432.08
883,Shaylyn O'Fearguise,sofearguiseoi@rediff.com,BANCO BPM SOCIETA' PER AZIONI,FR12 3863 2969 73XE HXRT DYBY 114,29286610.66
884,Karyn Slatford,kslatfordoj@dropbox.com,FIRST BANK,FR51 4205 4037 20EZ JT0R DZCK 404,28106637.3
885,Regan Fancet,rfancetok@weibo.com,FIRST SECURITY BANK,FR33 7561 4233 93UW 3UGL HUQH V54,46198247.02
886,Lindy Shafier,lshafierol@ezinearticles.com,FIRST MIDWEST BANK,SE43 1148 1719 7466 1117 1907,36353806.33
887,Inez Petrelluzzi,ipetrelluzziom@businessinsider.com,TD BANK,GE92 PA33 6467 4007 5100 31,31439200.3
888,Samantha Chipp,schippon@yelp.com,FIRSTBANK,FR30 7202 0683 11V7 RQOT QGRS M82,14021145.08
889,Amaleta Lyon,alyonoo@auda.org.au,BANCO BPM SOCIETA' PER AZIONI,IT59 A970 3292 960G 0YXE 3WN7 RCT,13837901.63
890,Asher Cogger,acoggerop@hostgator.com,PROSPERITY BANK,FR68 2459 8396 45VX 1YCV DJLI R92,16731900.67
891,Eberhard Proudler,eproudleroq@posterous.com,BANK OF NORTH CAROLINA,FR86 6231 4329 61DN Q0A6 GRFU 735,11964923.72
892,Grayce Corthes,gcorthesor@bing.com,COMMUNITY BANK,BR74 5545 2027 2369 8432 7742 387U H,23759521.88
893,Giffy Croysdale,gcroysdaleos@blogger.com,INTESA SANPAOLO S.P.A.,GE85 HE40 1871 1119 4064 18,35095305.98
894,Mercedes Dodimead,mdodimeadot@discuz.net,BANCO BPM SOCIETA' PER AZIONI,LU23 9412 SLIM RZRT 9LVH,3112158.0
895,Kynthia Greenslade,kgreensladeou@go.com,SANTANDER BANK,LI26 8111 3SKB QFR0 IBYF C,43087996.67
896,Jolie Standage,jstandageov@upenn.edu,INTESA SANPAOLO S.P.A.,AZ04 NFQU C3PA UNX5 E5GH QPEZ 30G7,493789.54
897,Electra Anstie,eanstieow@boston.com,Finamur,HU64 7408 9599 9723 1184 3607 7998,4939794.39
898,Stevana Ely,selyox@vkontakte.ru,HSBC BANK,TR62 9213 41Q9 NLNR HYUC NYMW W7,31790103.63
899,Thatch Eiler,teileroy@dell.com,FIRST SECURITY BANK,DE48 6579 3050 0527 6023 36,42982197.21
900,Gratia Southern,gsouthernoz@msu.edu,Bank Spółdzielczy w Pułtusku,HU92 2984 8498 4057 4656 6201 9509,15011401.6
901,Jaime McNaught,jmcnaughtp0@yelp.com,PNC BANK,AD91 6997 5006 SBKW CTCX OWTU,35077389.11
902,Eleni Gartin,egartinp1@earthlink.net,ING Bank N.V.,FR81 3621 5497 32Q7 N0TP MBTE C30,20714606.2
903,Stavros Orpen,sorpenp2@github.com,BMO HARRIS BANK,AE98 3834 0630 2481 6119 293,36116803.35
904,Alida Shorbrook,ashorbrookp3@mysql.com,CHEMICAL BANK,MT41 ZVTU 9657 68NT EAHV YBTO YQBD HHJ,17078238.97
905,Marshal Wevell,mwevellp4@answers.com,SAXO BANK A/S,AL06 8447 7539 M0AM KLLZ CDCA OGMA,25492608.76
906,Andre Kezar,akezarp5@businesswire.com,Raiffeisen Regionalbank Schwaz-Wattens eGen,SM26 G168 5586 809L O6BU OUE2 KUZ,11585459.3
907,Roma Knolles-Green,rknollesgreenp6@ted.com,VALLEY NATIONAL BANK,EE69 9640 5850 2596 5647,5844589.04
908,Brendan Bradshaw,bbradshawp7@biglobe.ne.jp,BRED - Banque populaire,HR56 5288 8350 3878 8921 0,7629997.83
909,Kip Rollin,krollinp8@meetup.com,BANNER BANK,NO64 2018 2280 317,42310574.57
910,Burlie Fitchell,bfitchellp9@skyrock.com,Raiffeisenbank Wyhl eG,IT08 W086 7809 744U 7EXJ K3C2 BN7,18852382.34
911,Adan Janikowski,ajanikowskipa@ed.gov,"Caja Rural de Jaén, Barcelona y Madrid, Sociedad Cooperativa de Crédito",MT71 QELY 7919 7LCM JJDX IO5L WTEK FJD,45831065.65
912,Eldridge Melrose,emelrosepb@bing.com,BANCO BPM SOCIETA' PER AZIONI,FI81 0518 6990 6764 53,13034457.01
913,Steven Poel,spoelpc@answers.com,FIRST NATIONAL BANK OF PENNSYLVANIA,ME75 2452 9668 3286 6059 09,25219287.55
914,Marris O'Haire,mohairepd@php.net,FIRST BANK,IT52 A015 2066 830M UAVM PMLH NJX,36986083.3
915,Paloma Gabriely,pgabrielype@seesaa.net,Norddeutsche Landesbank - Girozentrale -,IT23 I669 8991 188I 81XH 5OJ7 6GA,27952346.85
916,Nixie Alford,nalfordpf@github.com,Raiffeisen Bank International AG,IE51 NMNC 1671 9020 1308 80,28679621.0
917,Christian Payton,cpaytonpg@smh.com.au,RENASANT BANK,FR08 6475 3411 24HU QYHR 7VLR H66,26469146.17
918,Ally Broadbear,abroadbearph@privacy.gov.au,FEDERAL RESERVE BANK,ES43 5639 3891 2627 8553 4462,32544944.77
919,Rae Clague,rclaguepi@google.com.au,DEUTSCHE BANK AKTIENGESELLSCHAFT,AE32 4972 4354 7127 1344 001,22861922.25
920,Karlotta Tellenbrok,ktellenbrokpj@whitehouse.gov,MUFG UNION BANK,CZ15 0088 1411 0277 0872 2240,42545494.97
921,Seward Carrier,scarrierpk@bizjournals.com,State Bank of India,SE38 7322 2463 4326 7085 7677,37194053.95
922,Cornie Ruckledge,cruckledgepl@merriam-webster.com,BANCO BPM SOCIETA' PER AZIONI,LI15 2449 2IDO 74UF KKNU V,21487174.79
923,Angeli Brunicke,abrunickepm@weebly.com,FIRST NATIONAL BANK OF PENNSYLVANIA,GI39 AEDQ D0EF M6N9 EVSR 17E,32615310.19
924,Paco Cominello,pcominellopn@studiopress.com,BANCO BPM SOCIETA' PER AZIONI,FR52 0725 9861 050T 9NOO 7OJX 604,28466954.11
925,Sheelah Feldhorn,sfeldhornpo@addtoany.com,BANCO BPM SOCIETA' PER AZIONI,MK41 366D NOIK QDNV P93,47960495.41
926,Rhianna Shemmans,rshemmanspp@constantcontact.com,FIRST BANK,MR13 7012 0225 1969 4914 2084 343,22500243.48
927,Carlynne Hercock,chercockpq@columbia.edu,Coöperatieve Rabobank U.A.,NO54 8178 0146 168,480377.14
928,Dedie Gordge,dgordgepr@liveinternet.ru,FIFTH THIRD BANK,LV69 EYTC CIG9 DXAF RTXC Y,48055970.51
929,Fionna Vicary,fvicaryps@imageshack.us,FINANCIAL PARTNERS CREDIT UNION,RS66 1655 1100 1137 6204 92,30092630.42
930,Brit Cowlin,bcowlinpt@shareasale.com,M B FINANCIAL BANK,BE95 9267 5409 8643,48189873.97
931,Bank Jewes,bjewespu@blinklist.com,CITY NATIONAL BANK,IL95 2035 1204 6320 3731 873,11305515.38
932,Robin Hilliam,rhilliampv@oaic.gov.au,FIRST TENNESSEE BANK,MT23 IBGL 2745 5CVG Z0RQ MN0H OGSJ XAI,32572606.02
933,Kaleena Maykin,kmaykinpw@si.edu,Intesa Sanpaolo Bank Luxembourg S.A.,NO23 2290 5269 905,8975925.62
934,Roosevelt Skellington,rskellingtonpx@amazonaws.com,PROSPERITY BANK,LB32 8434 702D LJT4 FOZQ 2I6B 2CUG,36541066.02
935,Maryl Gillinghams,mgillinghamspy@jugem.jp,FIRST NATIONAL BANK,AZ16 ULDA Y8H8 YQLJ CAE2 DCXH NAWY,2457186.18
936,Fidela Robiou,frobioupz@clickbank.net,BANCA DI SCONTO S.P.A.,CZ40 0012 4264 5436 4824 6082,48306699.38
937,Corbett Greenland,cgreenlandq0@sbwire.com,FEDERAL RESERVE BANK,SM44 A131 3733 726D FYBC QAGD U66,2708958.98
938,Neill Sweeny,nsweenyq1@wix.com,HSBC Private Bank (Luxembourg) S.A.,RO79 LDFW RI0A 5AKZ J7P1 EYNS,39520429.36
939,Eden Mughal,emughalq2@myspace.com,BANCA DEL PIEMONTE S.P.A.,EE57 6008 5256 3402 5708,42419563.84
940,Tamar Boriston,tboristonq3@goo.gl,BANCA DEL PIEMONTE S.P.A.,RO32 SFTC NOZF 5K0G ET8V TF9G,37030419.95
941,Candida Doppler,cdopplerq4@oakley.com,Volksbank Nottuln eG,FR05 2633 3402 69UF LA7D KWI0 I23,47514894.49
942,Benito Stanistrete,bstanistreteq5@linkedin.com,Landesbank Saar,FR64 9832 1848 377F ICPQ GMN3 L99,1816068.87
943,Chandal Thurber,cthurberq6@mit.edu,CENTENNIAL BANK,SK73 1620 5711 6844 7730 6514,16443529.47
944,Josee Anlay,janlayq7@paypal.com,COMMUNITY STATE BANK,MD50 AZWM WSNR QS5A YV1M JKHQ,43145843.93
945,Ozzy Swine,oswineq8@typepad.com,"Caja Rural de Utrera, Sociedad Cooperativa Andaluza de Crédito",FR34 2482 1938 32YT ZCOQ UM8Z I21,34915719.43
946,Ginger Phifer,gphiferq9@biglobe.ne.jp,BMO HARRIS BANK,NL65 HQLA 7076 3507 97,12342083.95
947,Katlin Dicks,kdicksqa@jimdo.com,BANK OF AMERICA,IL80 3208 1353 8954 2222 667,3038053.35
948,Quinton Corney,qcorneyqb@feedburner.com,J.P. Morgan SE,IT63 P213 4573 003X Q0RF FQAT 4JP,23946423.07
949,Katha Reeds,kreedsqc@aol.com,VALLEY NATIONAL BANK,AD15 9042 6709 UMGL 7AXN 2KDG,17152287.2
950,Othella Buntine,obuntineqd@wix.com,Raiffeisenbank Region Waldviertel Mitte eGen,FR19 9559 9989 05LQ NY5Q HAN8 740,18565386.44
951,Karyn Leere,kleereqe@cam.ac.uk,Drumcondra and District Credit Union Limited,BE26 2300 3084 3825,26587062.96
952,Gilberte Hollingdale,ghollingdaleqf@vk.com,BANKPLUS,RO19 NAZL CVM7 MIAF ZU2G UEJC,4451930.22
953,Ediva Gorch,egorchqg@naver.com,BNP Paribas,FR57 9968 1459 117G CI0P OCRL K97,11115109.37
954,Gerard Hulcoop,ghulcoopqh@loc.gov,PSD Bank Nord eG,MR26 9545 6333 6778 6832 0625 696,32811092.07
955,Ange Glowach,aglowachqi@pen.io,PNC BANK INC. - BALTIMORE,HR69 9678 9269 1961 9292 1,29107114.77
956,Dalt Danilevich,ddanilevichqj@diigo.com,Sparkasse Bad Kissingen,GI25 UXAK JLJG 1ZCY K4F6 E5E,48360624.37
957,Agustin Benesevich,abenesevichqk@bbb.org,Sächsische Aufbaubank - Förderbank -,SE48 1990 7984 0027 6196 2606,31060489.38
958,Woody McCourtie,wmccourtieql@nature.com,Volksbank Geest eG,FR98 1096 0814 083X QW8T ZZFA G44,13378862.11
959,Jemima Strangward,jstrangwardqm@infoseek.co.jp,FIRST NATIONAL BANK OF OMAHA,ES89 2026 8243 9691 3251 9277,43372065.53
960,Emeline Cossom,ecossomqn@live.com,JPMORGAN CHASE,GE13 FR88 7697 0002 2596 13,45921101.05
961,Chevalier Pickrell,cpickrellqo@washingtonpost.com,State Bank of India,SE40 5521 6462 4457 9294 1478,39972169.29
962,Tonia Snelman,tsnelmanqp@livejournal.com,KBC Bank,NL86 CSAN 4699 4050 15,17997101.72
963,Minta Klishin,mklishinqq@themeforest.net,BPCE lease,LU04 473I P9VW B271 OUPV,19011988.48
964,Corenda Gartsyde,cgartsydeqr@nyu.edu,BANCA DI UDINE CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,KW51 CGDU RJV8 EQQX 1YTG TDVF BLM2 EG,46506806.72
965,Fabian Rippingall,frippingallqs@zdnet.com,Skandinaviska Enskilda Banken AB,FR96 8981 6235 47FH XNYG OBCK S52,18577971.23
966,Saxon Derrett,sderrettqt@xinhuanet.com,FIRST SAVINGS BANK,DO56 OQIQ 8142 7299 3877 1991 8534,46521958.79
967,Dina Baggot,dbaggotqu@networksolutions.com,IBERIABANK,BH90 KQPI LDKN K7I1 N1HL EC,5967882.65
968,Cliff Coppledike,ccoppledikeqv@businessinsider.com,Skandinaviska Enskilda Banken AB,SA94 506I N5ST J7RC 3RNJ WVG3,29602619.87
969,Ban Korn,bkornqw@drupal.org,WELLS FARGO BANK,FI08 7202 9412 8396 00,21878637.56
970,Sherlock Silbersak,ssilbersakqx@booking.com,Säästöpankki Kalanti-Pyhäranta,IL41 4030 9323 7528 2689 659,44163128.42
971,Mallorie Ruusa,mruusaqy@businessinsider.com,CITIZENS BANK,SM53 V985 5343 604R THFC HMQP UMT,13665610.98
972,Gonzales Stares,gstaresqz@cnbc.com,"China Construction Bank Corporation, Luxembourg Branch",TN41 3938 4190 9315 3466 5372,46709190.52
973,Georas MacGillivrie,gmacgillivrier0@furl.net,BANCO BPM SOCIETA' PER AZIONI,ES34 4592 5008 3269 0880 9015,35482811.61
974,Alvie Caunce,acauncer1@fc2.com,CaixaBank Wealth Management Luxembourg S.A.,BA48 4814 6802 2468 9107,31189625.73
975,Kristal Winterson,kwintersonr2@behance.net,XENITH BANK,DE32 3024 2009 4450 8752 25,3340845.97
976,Petra Colman,pcolmanr3@google.nl,BANK OF AMERICA,HR44 3795 6357 6474 2402 8,35897043.63
977,Thoma Chetwynd,tchetwyndr4@xinhuanet.com,COMMUNITY FIRST BANK,MK32 516N AJ51 WNZF T46,24225537.08
978,Emmy Adshed,eadshedr5@nsw.gov.au,First Choice Credit Union Limited,BE81 3291 0913 1661,25981838.5
979,Ive Plowright,iplowrightr6@sohu.com,ABN AMRO Bank N.V.,BG27 YSRB 5491 63B2 V3EK PX,43775426.66
980,Lou Rusling,lruslingr7@mapquest.com,FIRST FINANCIAL BANK,MC30 3704 6575 16GK 1QCK LIYZ D66,26752516.49
981,Michelle Crickmore,mcrickmorer8@netlog.com,BPCE,MC19 7173 7156 1054 DQGG PPIY 308,24756230.21
982,Haley Terbeck,hterbeckr9@nba.com,KEYBANK,GL81 0622 6173 6823 25,27203499.86
983,Jewelle Bentham,jbenthamra@usgs.gov,FIRST BANK,ES19 1592 4511 6648 1765 3946,18560330.81
984,Lonni Clemont,lclemontrb@java.com,PIRAEUS BANK SA,TR66 7849 3ROV SA3O ZKPL RPQT L6,14166929.12
985,Smith Parsons,sparsonsrc@mediafire.com,FIRST BANK & TRUST,CZ06 9738 9368 1606 2175 3831,2697571.18
986,Persis Grote,pgroterd@friendfeed.com,BANCO BPM SOCIETA' PER AZIONI,BG54 MAWM 6971 57DW 5ALH KS,15486282.02
987,Jamal Greve,jgrevere@amazon.co.jp,Airbus Bank GmbH,DK21 1143 9902 2813 80,7283978.09
988,Vladamir Pear,vpearrf@patch.com,"BANCA DI CREDITO COOPERATIVO DI VENEZIA, PADOVA E ROVIGO - BANCA ANNIA SOCIETA' COOPERATIVA",VG76 IXUA 0280 3622 7432 1509,24758217.08
989,Vivienne Glasard,vglasardrg@bbc.co.uk,Kelmės kredito unija,TN32 2028 9438 1650 4387 2516,3831277.99
990,Erskine Benois,ebenoisrh@altervista.org,Waldviertler Sparkasse Bank AG,BR50 7700 4577 3152 4446 5770 825Y C,2408773.83
991,Finley Stilwell,fstilwellri@over-blog.com,CHEMICAL BANK,FI44 2714 6228 2556 33,22980330.69
992,Faye Roblou,froblourj@liveinternet.ru,Raiffeisenbank Wallersee eGen,FR44 7119 0500 77EV QP3V A3JA W51,37013887.48
993,Grace Wallen,gwallenrk@linkedin.com,BUSEY BANK,RO68 RAFV SP5S YJCI 53LT UAZS,30291373.24
994,Mandy Crosen,mcrosenrl@nymag.com,CASSA RAIFFEISEN CASTELROTTO - ORTISEI SOC. COOPERATIVA - RAIFFEISENKASSE KASTELRUTH - ST. ULRICH GENOSSENSCHAFT,CZ16 8045 3796 6006 6088 2584,46103336.72
995,Hildy McKyrrelly,hmckyrrellyrm@over-blog.com,AS TBB pank,CY95 1605 6755 3F3W MBWL DRRX LH5C,9209455.88
996,Ashley Beton,abetonrn@latimes.com,Raiffeisenbank Unteres Vilstal eG,FR02 7669 0692 58KY 9MNL SSDC D35,44644561.02
997,Breanne Jacombs,bjacombsro@tiny.cc,M B FINANCIAL BANK,RS16 5460 4509 1959 6702 90,20284451.75
998,Hogan Dytham,hdythamrp@state.tx.us,FIRST NATIONAL BANK,GI29 MRWD JHFA LMLU WZ3V EUC,35321797.99
999,Jennee Newbegin,jnewbeginrq@salon.com,Liechtensteinische Landesbank (Österreich) AG,MK82 0180 CB3U RKJI M64,27555510.06
